timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-14,191.94,209.82,189.44,209.25,209.25,216455708,0.0000,1.0
2023-02-13,194.415,196.3,187.61,194.64,194.64,172475452,0.0000,1.0
2023-02-10,202.225,206.2,192.89,196.89,196.89,204754129,0.0000,1.0
2023-02-09,207.775,214.0,204.77,207.32,207.32,215431442,0.0000,1.0
2023-02-08,196.1,203.0,194.31,201.29,201.29,180673644,0.0000,1.0
2023-02-07,196.43,197.5,189.55,196.81,196.81,186010325,0.0000,1.0
2023-02-06,193.01,198.17,189.92,194.76,194.76,186188131,0.0000,1.0
2023-02-03,183.95,199.0,183.69,189.98,189.98,232662023,0.0000,1.0
2023-02-02,187.325,196.7501,182.61,188.27,188.27,217448287,0.0000,1.0
2023-02-01,173.89,183.805,169.93,181.41,181.41,213806323,0.0000,1.0
2023-01-31,164.57,174.3,162.78,173.22,173.22,196813541,0.0000,1.0
2023-01-30,178.05,179.77,166.5,166.66,166.66,230878807,0.0000,1.0
2023-01-27,162.43,180.68,161.17,177.9,177.9,306590613,0.0000,1.0
2023-01-26,159.965,161.42,154.76,160.27,160.27,234815090,0.0000,1.0
2023-01-25,141.905,146.41,138.07,144.43,144.43,192734347,0.0000,1.0
2023-01-24,143.0,146.5,141.1,143.89,143.89,158699056,0.0000,1.0
2023-01-23,135.87,145.3793,134.27,143.75,143.75,203119211,0.0000,1.0
2023-01-20,128.68,133.51,127.3466,133.42,133.42,138858136,0.0000,1.0
2023-01-19,127.26,129.99,124.3082,127.17,127.17,170291880,0.0000,1.0
2023-01-18,136.555,136.68,127.01,128.78,128.78,195680318,0.0000,1.0
2023-01-17,125.695,131.7,125.02,131.49,131.49,186476985,0.0000,1.0
2023-01-13,116.55,122.63,115.6,122.4,122.4,180714119,0.0000,1.0
2023-01-12,122.56,124.1311,117.0,123.56,123.56,169400913,0.0000,1.0
2023-01-11,122.09,125.95,120.51,123.22,123.22,183810771,0.0000,1.0
2023-01-10,121.07,122.76,114.92,118.85,118.85,167642485,0.0000,1.0
2023-01-09,118.96,123.52,117.11,119.77,119.77,190283951,0.0000,1.0
2023-01-06,103.0,114.39,101.81,113.06,113.06,220911051,0.0000,1.0
2023-01-05,110.51,111.75,107.1601,110.34,110.34,157986324,0.0000,1.0
2023-01-04,109.11,114.59,107.52,113.64,113.64,180388976,0.0000,1.0
2023-01-03,118.47,118.8,104.64,108.1,108.1,231402818,0.0000,1.0
2022-12-30,119.95,124.48,119.75,123.18,123.18,157777339,0.0000,1.0
2022-12-29,120.385,123.57,117.495,121.82,121.82,221923313,0.0000,1.0
2022-12-28,110.35,116.27,108.24,112.71,112.71,221070537,0.0000,1.0
2022-12-27,117.495,119.67,108.76,109.1,109.1,208643444,0.0000,1.0
2022-12-23,126.37,128.6173,121.02,123.15,123.15,166989688,0.0000,1.0
2022-12-22,136.0,136.63,122.26,125.35,125.35,210090250,0.0000,1.0
2022-12-21,139.335,141.26,135.89,137.57,137.57,145417412,0.0000,1.0
2022-12-20,146.05,148.47,137.66,137.8,137.8,159563267,0.0000,1.0
2022-12-19,154.0,155.25,145.82,149.87,149.87,139390634,0.0000,1.0
2022-12-16,159.635,160.99,150.04,150.23,150.23,139032175,0.0000,1.0
2022-12-15,153.44,160.9299,153.28,157.67,157.67,122334459,0.0000,1.0
2022-12-14,159.25,161.62,155.31,156.8,156.8,140682338,0.0000,1.0
2022-12-13,174.87,175.05,156.91,160.95,160.95,175862722,0.0000,1.0
2022-12-12,176.1,177.37,167.52,167.82,167.82,109794471,0.0000,1.0
2022-12-09,173.84,182.5,173.36,179.05,179.05,104872336,0.0000,1.0
2022-12-08,172.2,175.2,169.06,173.44,173.44,97624491,0.0000,1.0
2022-12-07,175.03,179.38,172.218,174.04,174.04,84213284,0.0000,1.0
2022-12-06,181.215,183.65,175.33,179.82,179.82,92150823,0.0000,1.0
2022-12-05,189.44,191.27,180.55,182.45,182.45,93122667,0.0000,1.0
